Land-area,Land type,Temperature,Rainfall,Phosphorus,Nitrogen,Rice,Water,Potassium,"Land, growth rate [%]","Percentage of total [%]","Total land per 100 people [ha /100 pers]","Agriculture land per 100 people [ha/100 pers]","Agriculture land per 100 agric people [ha/100 pers]",'Emma,F,20799'
"Iringa",Peaty soils,18.547536,"15835.00","15835.00",18.011752,"Oil,18.011752,"244","0.00","","","","",,'Summer,F,1759'
"Kagera",Marshy soils,3.41E–25,"4901.00","4901.00",2.55E–23,"Oil,2.55E–23,"290","0.00","","","","",,'Lila,F,1758'
"Kigoma",Sandy Soil,3.86E–25,"9461.00","9461.00",18.029733,"Oil,18.029733,"257","0.00","","","","",,'Rebecca,F,1758'
"Kilimanjaro",Clay Soil,18.003139,"2050.00","2050.00",5.08E–25,"Cottonseed",5.08E–25,"5459.00","0.00","","","","",,'Julianna,F,1756'
"North-west",Silt Soil,18.001137,"67380.10","67380.10",18.01834,"Oil,18.01834,"258","0.00","","","","",,'Callie,F,1751'
"Gauteng",Alluvial soils,18.784625,"3900.00","3900.00",5.85E–23,"Oil,5.85E–23,"331","0.00","","","","",,'Michelle,F,1737'
"Northern Province",Black soils,1.86E–24,"88478.50","88478.50",18.071873,"Cotton lint",18.071873,"3211.00","0.00","","","","",,'Ryleigh,F,1735'
"Mpumalanga",Red soils,18.653187,"32439.30","32439.30",18.349257,"Oil,18.349257,"244","0.00","","","","",,'Presley,F,1733'
"Kwazulu-natal",Laterite soils,18.105878,"53296.40","53296.40",18.000841,"Palm kernels",18.000841,"600.00","0.00","","","","",,'Alaina,F,1729'
"Eastern Cape",Desert soils,18.018042,"136448.00","136448.00",8.6E–24,"Beer of barley",8.6E–24,"16000.00","0.00","","","","",,'Angela,F,1722'
"Free State",Mountain soils,19.547536,"75386.80","75386.80",19.011752,"Beer of barley",19.011752,"0.00","0.00","","","","",,'Alina,F,1706'
"Northern Cape",Saline soils,3.41E–26,"290894.00","290894.00",2.55E–24,"Cottonseed",2.55E–24,"18333.00","0.00","","","","",,'Harmony,F,1704'
"Lindi",Alkaline soils,3.86E–26,"12035.00","12035.00",19.029733,"Beer of barley",19.029733,"0.00","0.00","","","","",,'Rose,F,1678'
"Mara",Peaty soils,19.003139,"8698.00","8698.00",5.08E–26,"Sugar Raw Centrifugal",5.08E–26,"15000.00","0.00","","","","",,'Athena,F,1677'
"Mbeya",Marshy soils,19.001137,"9314.00","9314.00",19.01834,"Molasses",19.01834,"8250.00","0.00","","","","",,'Emerson,F,1670'
"Morogoro",Sandy Soil,19.784625,"19398.00","19398.00",5.85E–24,"Oil,5.85E–24,"237","0.00","","","","",,'Adelyn,F,1666'
"Mtwara",Clay Soil,1.86E–25,"533.00","533.00",19.071873,"Oil,19.071873,"244","0.00","","","","",,'Alana,F,1664'
"Mwanza",Silt Soil,19.653187,"3499.00","3499.00",19.349257,"Oil,19.349257,"252","0.00","","","","",,'Hayden,F,1656'
"Pwani",Alluvial soils,19.105878,"6570.00","6570.00",19.000841,"Cotton lint",19.000841,"9167.00","0.00","","","","",,'Izabella,F,1653'
"Shinyanga",Black soils,19.018042,"14650.00","14650.00",8.6E–25,"Cottonseed",8.6E–25,"14800.00","0.00","","","","",,'Cali,F,1652'
"Singida",Red soils,20.547536,"9225.00","9225.00",20.011752,"Beer of barley",20.011752,"21400.00","0.00","","","","",,'Marley,F,1643'
"Tabora",Laterite soils,3.41E–27,"16272.00","16272.00",2.55E–25,"Oil,2.55E–25,"244","0.00","","","","",,'Esther,F,1638'
"Tanga",Desert soils,3.86E–27,"3139.00","3139.00",20.029733,"Oil,20.029733,"252","0.00","","","","",,'Fiona,F,1636'
"Lindi",Mountain soils,20.003139,"67172.00","67172.00",5.08E–27,"Palm kernels",5.08E–27,"29500.00","0.00","","","","",,'Stephanie,F,1630'
"Chandigarh",Saline soils,20.001137,"114.00","114.00",20.01834,"Oil,20.01834,"257","0.00","","1.78","","",,'Cecilia,F,1623'
"Bihar",Alkaline soils,20.784625,"173877.00","173877.00",5.85E–25,"Oil,5.85E–25,"258","0.00","","20.12","","",,'Kate,F,1611'
"Assam",Peaty soils,1.86E–26,"78438.00","78438.00",20.071873,"Oil,20.071873,"331","0.00","","35.02","","",,'Kinley,F,1610'
"Arunachal Pradesh",Marshy soils,20.653187,"83743.00","83743.00",20.349257,"Cotton lint",20.349257,"8850.00","0.00","","968.62","","",,'Jayla,F,1609'
"Andhra Pradesh",Sandy Soil,20.105878,"275045.00","275045.00",20.000841,"Margarine,20.000841,"1242","0.00","","41.36","","",,'Genevieve,F,1595'
"Andaman & Nicobar",Clay Soil,20.018042,"8249.00","8249.00",8.6E–26,"Wine",8.6E–26,"21827.40","0.00","","293.91","","",,'Alexandria,F,1589'
"Kwazulu-natal",Silt Soil,21.547536,"91481.00","91481.00",21.011752,"Oil,21.011752,"334","0.00","","","","",,'Eliza,F,1585'
"Mpumalanga",Alluvial soils,3.41E–28,"81816.00","81816.00",2.55E–26,"Oil,2.55E–26,"271","0.00","","","","",,'Kylee,F,1580'
"Northern Province",Black soils,3.86E–28,"119606.00","119606.00",21.029733,"Oil,21.029733,"268","0.00","","","","",,'Alivia,F,1579'
"Gauteng",Red soils,21.003139,"18760.00","18760.00",5.08E–28,"Oil,5.08E–28,"237","0.00","","","","",,'Giselle,F,1573'
"Arusha",Laterite soils,21.001137,"84204.00","84204.00",21.01834,"Molasses",21.01834,"67000.00","0.00","","","","",,'Arya,F,1544'
"Dar es Salaam",Desert soils,21.784625,"1727.00","1727.00",5.85E–26,"Sugar Raw Centrifugal",5.85E–26,"128000.00","0.00","","","","",,'Alayna,F,1533'
"Dodoma",Mountain soils,1.86E–27,"42149.00","42149.00",21.071873,"Beer of barley",21.071873,"1165867.00","0.00","","","","",,'Leilani,F,1532'
"Iringa",Saline soils,21.653187,"59274.00","59274.00",21.349257,"Cottonseed",21.349257,"17300.00","0.00","","","","",,'Adeline,F,1522'
"Kagera",Alkaline soils,21.105878,"39253.00","39253.00",21.000841,"Oil,21.000841,"331","0.00","","","","",,'Jennifer,F,1514'
"Kigoma",Peaty soils,21.018042,"46027.00","46027.00",8.6E–27,"Cotton lint",8.6E–27,"10000.00","0.00","","","","",,'Tessa,F,1510'
"Kilimanjaro",Marshy soils,22.547536,"13324.00","13324.00",22.011752,"Molasses",22.011752,"0.00","0.00","","","","",,'Ana,F,1508'
"Dadra and Nagar Haveli",Sandy Soil,3.41E–29,"491.00","491.00",2.55E–27,"Oil,2.55E–27,"244","0.00","","35.46","","",,'Finley,F,1498'
"Mara",Clay Soil,3.86E–29,"30507.00","30507.00",22.029733,"Palm kernels",22.029733,"969.00","0.00","","","","",,'Melissa,F,1496'
"Mbeya",Silt Soil,22.003139,"63191.00","63191.00",5.08E–29,"Oil,5.08E–29,"257","0.00","","","","",,'Daniela,F,1486'
"Morogoro",Alluvial soils,22.001137,"69239.00","69239.00",22.01834,"Oil,22.01834,"290","0.00","","","","",,'Aniyah,F,1479'
"Mtwara",Black soils,22.784625,"17842.00","17842.00",5.85E–27,"Beer of barley",5.85E–27,"6400.00","0.00","","","","",,'Daleyza,F,1461'
"Mwanza",Red soils,1.86E–28,"35323.00","35323.00",22.071873,"Sugar Raw Centrifugal",22.071873,"0.00","0.00","","","","",,'Keira,F,1459'
"Pwani",Laterite soils,22.653187,"31859.00","31859.00",22.349257,"Cottonseed",22.349257,"30000.00","0.00","","","","",,'Charlie,F,1432'
"Rukwa",Desert soils,22.105878,"73673.00","73673.00",22.000841,"Sugar Raw Centrifugal",22.000841,"1000.00","0.00","","","","",,'Lucia,F,1421'
"Ruvuma",Mountain soils,22.018042,"65123.00","65123.00",8.6E–28,"Oil,8.6E–28,"244","0.00","","","","",,'Hope,F,1412'
"Shinyanga",Saline soils,23.547536,"50080.00","50080.00",23.011752,"Cotton lint",23.011752,"16467.00","0.00","","","","",,'Gabriela,F,1403'
"Singida",Alkaline soils,3.41E–30,"48860.00","48860.00",2.55E–28,"Oil,2.55E–28,"331","0.00","","","","",,'Mckenna,F,1388'
"Tabora",Peaty soils,3.86E–30,"75893.00","75893.00",23.029733,"Oil,23.029733,"271","0.00","","","","",,'Brynlee,F,1387'
"Tanga",Marshy soils,23.003139,"27932.00","27932.00",5.08E–30,"Beer of barley",5.08E–30,"120000.00","0.00","","","","",,'Parker,F,1386'
"North-west",Sandy Soil,23.001137,"118710.00","118710.00",23.01834,"Sugar Raw Centrifugal",23.01834,"38000.00","0.00","","","","",,'Lola,F,1370'
"Western Cape",Clay Soil,23.784625,"129386.00","129386.00",5.85E–28,"Molasses",5.85E–28,"9000.00","0.00","","","","",,'Amaya,F,1349'
"Northern Cape",Silt Soil,1.86E–29,"363389.00","363389.00",23.071873,Rice,23.071873,"237","0.00","","","","",,'Miranda,F,1348'
"Free State",Alluvial soils,23.653187,"129437.00","129437.00",23.349257,Rice,23.349257, virgin","0.00","","","","",,'Maggie,F,1344'
"Unguja Urban West",Black soils,23.105878,"","",23.000841,Rice,23.000841,"268","0.00","","","","",,'Anastasia,F,1328'
"Unguja South",Red soils,23.018042,"","",8.6E–29,Rice,8.6E–29,"331","0.00","","","","",,'Leila,F,1324'
"Pemba South",Laterite soils,24.547536,"","",24.011752,Rice,24.011752,"334","0.00","","","","",,'Lexi,F,1320'
"Unguja North",Desert soils,3.41E–31,"","",2.55E–29,"Wine",2.55E–29,"485300.00","0.00","","","","",,'Georgia,F,1319'
"Pemba North",Mountain soils,3.86E–31,"","",24.029733,"Margarine,24.029733,"1242","0.00","","","","",,'Kenzie,F,1317'
"Manyara",Saline soils,24.003139,"","",5.08E–31,"Molasses",5.08E–31,"338000.00","0.00","","","","",,'Iris,F,1312'
"Eastern Cape",Alkaline soils,24.001137,"170616.00","170616.00",24.01834,"Oil,24.01834,"257","0.00","","","","",,'Jacqueline,F,1301'
"Uttaranchal",Peaty soils,24.784625,"","",5.85E–29,"Oil,5.85E–29,"258","0.00","","","","",,'Jordan,F,1300'
"Chhattisgarh",Marshy soils,1.86E–30,"","",24.071873,"Oil,24.071873,"268","0.00","","","","",,'Cassidy,F,1294'
"Tripura",Sandy Soil,24.653187,"10486.00","10486.00",24.349257,"Palm kernels",24.349257,"10000.00","0.00","","38.03","","",,'Vivienne,F,1289'
"West Bengal",Clay Soil,24.105878,"88752.00","88752.00",24.000841,"Margarine,24.000841,"1242","0.00","","13.03","","",,'Camille,F,1280'
"Uttar Pradesh",Silt Soil,24.018042,"294411.00","294411.00",8.6E–30,"Cotton lint",8.6E–30,"800462.00","0.00","","21.18","","",,'Noelle,F,1280'
"Tamil Nadu",Alluvial soils,25.547536,"130058.00","130058.00",25.011752,"Oil,25.011752,"252","0.00","","23.27","","",,'Adrianna,F,1272'
"Sikkim",Black soils,3.41E–32,"7096.00","7096.00",2.55E–30,"Oil,2.55E–30,"244","0.00","","174.58","","",,'Teagan,F,1272'
"Rajasthan",Red soils,3.86E–32,"342239.00","342239.00",25.029733,"Oil,25.029733,"237","0.00","","77.78","","",,'Josie,F,1269'
"Punjab",Laterite soils,25.003139,"50362.00","50362.00",5.08E–32,"Oil,5.08E–32,"334","0.00","","24.81","","",,'Juliette,F,1268'
"Pondicherry",Desert soils,25.001137,"492.00","492.00",25.01834,"Beer of barley",25.01834,"150583.18","0.00","","6.09","","",,'Annabella,F,1265'
"Orissa",Mountain soils,25.784625,"155707.00","155707.00",5.85E–30,"Oil,5.85E–30,"60","0.00","","49.12","","",,'Allie,F,1263'
"Nagaland",Saline soils,1.86E–31,"16579.00","16579.00",25.071873,"Sugar Raw Centrifugal",25.071873,"1428688.00","0.00","","137.07","","",,'Juliet,F,1263'
"Mizoram",Alkaline soils,25.653187,"21081.00","21081.00",25.349257,"Oil,25.349257,"331","0.00","","305.63","","",,'Kendra,F,1262'
"Meghalaya",Peaty soils,25.105878,"22429.00","22429.00",25.000841,"Cottonseed",25.000841,"1600925.00","0.00","","126.38","","",,'Sienna,F,1255'
"Manipur",Marshy soils,25.018042,"22327.00","22327.00",8.6E–31,"Oil,8.6E–31,"290","0.00","","121.53","","",,'Brynn,F,1253'
"Maharashtra",Sandy Soil,26.547536,"307713.00","307713.00",26.011752,"Oil,26.011752,"271","0.00","","39.00","","",,'Kali,F,1247'
"Madhya Pradesh",Clay Soil,3.41E–33,"443446.00","443446.00",2.55E–31,Rice,2.55E–31,"2010.00","0.00","","66.99","","",,'Maci,F,1235'
"Lakshadweep",Silt Soil,3.86E–33,"32.00","32.00",26.029733,Rice,26.029733,"2010.00","0.00","","6.19","","",,'Danielle,F,1233'
"Kerala",Alluvial soils,26.003139,"38863.00","38863.00",5.08E–33,Rice,5.08E–33,"51","0.00","","13.35","","",,'Haley,F,1223'
"Karnataka",Black soils,26.001137,"191791.00","191791.00",26.01834,Rice,26.01834,"2010.00","0.00","","42.62","","",,'Jenna,F,1223'
"Jammu and Kashmir",Red soils,26.784625,"222236.00","222236.00",5.85E–31,Rice,5.85E–31,"2010.00","0.00","","287.92","","",,'Raelynn,F,1222'
"Himachal Pradesh",Laterite soils,1.86E–32,"55673.00","55673.00",26.071873,Rice,26.071873,"162","0.00","","107.67","","",,'Delaney,F,1220'
"Haryana",Desert soils,26.653187,"44212.00","44212.00",26.349257,Rice,26.349257,"165","0.00","","26.80","","",,'Paris,F,1218'
"Gujarat",Mountain soils,26.105878,"196024.00","196024.00",26.000841,Rice,26.000841,"2010.00","0.00","","47.46","","",,'Alexia,F,1213'
"Goa",Saline soils,26.018042,"3702.00","3702.00",8.6E–32,Rice,8.6E–32,"2010.00","0.00","","31.65","","",,'Lyric,F,1210'
"Delhi",Alkaline soils,27.547536,"1483.00","1483.00",27.011752,Rice,27.011752,"51","0.00","","1.57","","",,'Gemma,F,1205'
"Daman and Diu",Peaty soils,3.41E–34,"112.00","112.00",2.55E–32,Rice,2.55E–32,"2010.00","0.00","","11.03","","",,'Lilliana,F,1203'
"San Jose",Marshy soils,3.86E–34,"4960.00","4960.00",27.029733,Rice,27.029733,"329","0.00","","","","",,'Chelsea,F,1191'
"Puntarenas",Sandy Soil,27.003139,"11266.00","11266.00",5.08E–34,Rice,5.08E–34,"767","0.00","","","","",,'Angel,F,1179'
"Limon",Clay Soil,27.001137,"9189.00","9189.00",27.01834,Rice,27.01834,"2010.00","0.00","","","","",,'Evangeline,F,1177'
"Heredia",Silt Soil,27.784625,"2657.00","2657.00",5.85E–32,Rice,5.85E–32,"2010.00","0.00","","","","",,'Ayla,F,1169'
"Guanacaste",Alluvial soils,1.86E–33,"10141.00","10141.00",27.071873,Rice,27.071873,"2010.00","0.00","","","","",,'Kayleigh,F,1160'
"Cartago",Black soils,27.653187,"3125.00","3125.00",27.349257,Rice,27.349257,"2010.00","0.00","","","","",,'Lena,F,1156'
"Alajuela",Red soils,27.105878,"9754.00","9754.00",27.000841,Rice,27.000841,"2010.00","0.00","","","","",,'Katie,F,1149'
"Mondul Kiri",Laterite soils,27.018042,"14288.00","14288.00",8.6E–33,Rice,8.6E–33,"2010.00","0.00","","6494.55","","",,'Elaina,F,1145'
"Ratanak Kiri",Desert soils,28.547536,"10782.00","10782.00",28.011752,Rice,28.011752,"256","0.00","","1684.69","","",,'Olive,F,1144'
"Stung Treng",Mountain soils,3.41E–35,"11092.00","11092.00",2.55E–33,Rice,2.55E–33,"2010.00","0.00","","1980.71","","",,'Madeleine,F,1138'
"Preah Vihear",Saline soils,3.86E–35,"13788.00","13788.00",28.029733,Rice,28.029733,"2010.00","0.00","","1406.94","","",,'Makenna,F,1138'
"Kampong Speu",Alkaline soils,28.003139,"7017.00","7017.00",5.08E–35,Rice,5.08E–35,"165","0.00","","143.20","","",,'Dakota,F,1136'
"Koh Kong",Peaty soils,28.001137,"11160.00","11160.00",28.01834,Rice,28.01834,"767","0.00","","1571.83","","",,'Elsa,F,1131'
"Kampot",Marshy soils,28.784625,"5209.00","5209.00",5.85E–33,Rice,5.85E–33,"2010.00","0.00","","108.30","","",,'Nova,F,1121'
"Sihanoukville",Sandy Soil,1.86E–34,"868.00","868.00",28.071873,Rice,28.071873,"162","0.00","","71.74","","",,'Nadia,F,1119'
"Kampong Chhnang",Clay Soil,28.653187,"5521.00","5521.00",28.349257,Rice,28.349257,"51","0.00","","169.36","","",,'Alison,F,1115'
"Pursat",Silt Soil,28.105878,"12692.00","12692.00",28.000841,Rice,28.000841,"2010.00","0.00","","420.26","","",,'Kaydence,F,1111'
"Battambang",Alluvial soils,28.018042,"10433.00","10433.00",8.6E–34,Rice,8.6E–34,"329","0.00","","161.00","","",,'Journey,F,1110'
"Banteay Meanchey",Black soils,29.547536,"9937.00","9937.00",29.011752,"Oil,29.011752,"257","0.00","","203.21","","",,'Jada,F,1107'
"Siemreap",Red soils,3.41E–36,"15271.00","15271.00",2.55E–34,"Beer of barley",2.55E–34,"647100.00","0.00","","224.57","","",,'Kathryn,F,1107'
"Kampong Thom",Laterite soils,3.86E–36,"13814.00","13814.00",29.029733,"Oil,29.029733,"60","0.00","","281.92","","",,'Shelby,F,1101'
"Takeo",Desert soils,29.003139,"3563.00","3563.00",5.08E–36,"Sugar Raw Centrifugal",5.08E–36,"362643.00","0.00","","51.27","","",,'Nina,F,1091'
"Prey Veng",Mountain soils,29.001137,"4883.00","4883.00",29.01834,"Molasses",29.01834,"98000.00","0.00","","52.34","","",,'Elliana,F,1089'
"Svay Rieng",Saline soils,29.784625,"2966.00","2966.00",5.85E–34,"Oil,5.85E–34,"237","0.00","","66.95","","",,'Diana,F,1088'
"Kampong Cham",Alkaline soils,1.86E–35,"9799.00","9799.00",29.071873,"Oil,29.071873,"252","0.00","","66.93","","",,'Phoebe,F,1086'
"Kandal",Peaty soils,29.653187,"3591.00","3591.00",29.349257,"Palm kernels",29.349257,"500.00","0.00","","42.00","","",,'Alessandra,F,1078'
"Phnom Penh",Marshy soils,29.105878,"267.00","267.00",29.000841,"Oil,29.000841,"258","0.00","","3.29","","",,'Eloise,F,1074'
"Atlantico Norte",Sandy Soil,29.018042,"32159.00","32159.00",8.6E–35,"Oil,8.6E–35,"290","0.00","","","","",,'Nyla,F,1074'
"Atlantico Sur",Clay Soil,30.547536,"27407.00","27407.00",30.011752,"Cottonseed",30.011752,"132000.00","0.00","","","","",,'Skyler,F,1070'
"Boaco",Silt Soil,3.41E–37,"4244.00","4244.00",2.55E–35,"Oil,2.55E–35,"331","0.00","","","","",,'Madilyn,F,1067'
"Carazo",Alluvial soils,3.86E–37,"1050.00","1050.00",30.029733,"Cotton lint",30.029733,"76500.00","0.00","","","","",,'Adelynn,F,1058'
"Chinandega",Black soils,30.003139,"4926.00","4926.00",5.08E–37,"Margarine,5.08E–37,"1242","0.00","","","","",,'Miriam,F,1057'
"Chontales",Red soils,30.001137,"6378.00","6378.00",30.01834,"Oil,30.01834,"252","0.00","","","","",,'Ashlyn,F,1055'
"Esteli",Laterite soils,30.784625,"2335.00","2335.00",5.85E–35,"Beer of barley",5.85E–35,"1650.00","0.00","","","","",,'Amiyah,F,1051'
"Granada",Desert soils,1.86E–36,"929.00","929.00",30.071873,"Oil,30.071873,"257","0.00","","","","",,'Megan,F,1051'
"Jinotega",Mountain soils,30.653187,"9755.00","9755.00",30.349257,"Palm kernels",30.349257,"7420.00","0.00","","","","",,'Amber,F,1049'
"Leon",Saline soils,30.105878,"5107.00","5107.00",30.000841,"Oil,30.000841,"244","0.00","","","","",,'Rosalie,F,1047'
"Madriz",Alkaline soils,30.018042,"1602.00","1602.00",8.6E–36,"Molasses",8.6E–36,"6800.00","0.00","","","","",,'Annie,F,1046'
"Managua",Peaty soils,31.547536,"3672.00","3672.00",31.011752,"Sugar Raw Centrifugal",31.011752,"16000.00","0.00","","","","",,'Lilah,F,1044'
"Masaya",Marshy soils,3.41E–38,"590.00","590.00",2.55E–36,"Oil,2.55E–36,"252","0.00","","","","",,'Charlee,F,1043'
"Matagalpa",Sandy Soil,3.86E–38,"8523.00","8523.00",31.029733,"Oil,31.029733,"257","0.00","","","","",,'Amanda,F,1042'
"Nueva Segovia",Clay Soil,31.003139,"3123.00","3123.00",5.08E–38,"Palm kernels",5.08E–38,"1200.00","0.00","","","","",,'Ruth,F,1042'
"Rio San Juan",Silt Soil,31.001137,"7473.00","7473.00",31.01834,"Oil,31.01834,"252","0.00","","","","",,'Adelaide,F,1040'
"Rivas",Alluvial soils,31.784625,"2155.00","2155.00",5.85E–36,"Molasses",5.85E–36,"15500.00","0.00","","","","",,'June,F,1039'
"Manica",Black soils,1.86E–37,"","",31.071873,"Sugar Raw Centrifugal",31.071873,"63963.00","0.00","","","","",,'Laura,F,1038'
"Inhambane",Red soils,31.653187,"","",31.349257,"Beer of barley",31.349257,"9100.00","0.00","","","","",,'Daniella,F,1032'
"Gaza",Laterite soils,31.105878,"","",31.000841,"Margarine,31.000841,"1242","0.00","","","","",,'Mikayla,F,1026'
"Cabo Delgado",Desert soils,31.018042,"","",8.6E–37,"Cotton lint",8.6E–37,"1206.00","0.00","","","","",,'Raegan,F,1019'
"Maputo (city)",Mountain soils,32.547536,"602.00","602.00",32.011752,"Oil,32.011752,"334","0.00","","","","",,'Jane,F,1018'
"Area under National Administration",Saline soils,3.41E–39,"","",2.55E–37,"Oil,2.55E–37,"331","0.00","","","","",,'Ashlynn,F,1015'
"Zambezia",Alkaline soils,3.86E–39,"","",32.029733,"Cottonseed",32.029733,"2120.00","0.00","","","","",,'Kelsey,F,1014'
"Tete",Peaty soils,32.003139,"100724.00","100724.00",5.08E–39,"Oil,5.08E–39,"258","0.00","","","","",,'Erin,F,1013'
"Sofala",Marshy soils,32.001137,"68018.00","68018.00",32.01834,"Oil,32.01834,"290","0.00","","","","",,'Christina,F,1012'
"Niassa",Sandy Soil,32.784625,"129061.00","129061.00",5.85E–37,"Oil,5.85E–37,"244","0.00","","","","",,'Joanna,F,1010'
"Nampula",Clay Soil,1.86E–38,"81606.00","81606.00",32.071873,"Cotton lint",32.071873,"4700.00","0.00","","","","",,'Fatima,F,1009'
"Maputo",Silt Soil,32.653187,"26358.00","26358.00",32.349257,"Oil,32.349257,"331","0.00","","","","",,'Allyson,F,1008'
"Rio De Oro",Alluvial soils,32.105878,"50880.00","50880.00",32.000841,"Cottonseed",32.000841,"9400.00","","","","","",,'Talia,F,1006'
"Saguia El Hamra",Black soils,32.018042,"201240.00","201240.00",8.6E–38,"Oil,8.6E–38,"237","","","","","",,'Mariana,F,1004'
"Manica",Red soils,33.547536,"61656.00","61656.00",33.011752,"Molasses",33.011752,"1781900.00","0.00","","","","",,'Sabrina,F,1003'
"Lake Mweru",Laterite soils,3.41E–40,"","",2.55E–38,"Sugar Raw Centrifugal",2.55E–38,"6875500.00","0.00","","","","",,'Haven,F,1002'
"Lake Kivu",Desert soils,3.86E–40,"","",33.029733,"Beer of barley",33.029733,"139400.00","0.00","","","","",,'Ainsley,F,998'
"Shaba",Mountain soils,33.003139,"488955.88","488955.88",5.08E–40,"Wine",5.08E–40,"0.00","0.00","","","","",,'Cadence,F,998'
"Kivu",Saline soils,33.001137,"251929.66","251929.66",33.01834,"Beer of barley",33.01834,"4613.00","0.00","","","","",,'Elsie,F,998'
"Kinshasa",Alkaline soils,33.784625,"11066.55","11066.55",5.85E–38,"Cotton lint",5.85E–38,"140.00","0.00","","","","",,'Leslie,F,994'
"Kasai-oriental",Peaty soils,1.86E–39,"169919.05","169919.05",33.071873,"Wine",33.071873,"33567.00","0.00","","","","",,'Heaven,F,984'
"Kasai-occidental",Marshy soils,33.653187,"154081.02","154081.02",33.349257,"Cottonseed",33.349257,"282.00","0.00","","","","",,'Arielle,F,978'
"Haut-zaire",Sandy Soil,33.105878,"504940.94","504940.94",33.000841,Rice,33.000841,"290","0.00","","","","",,'Maddison,F,977'
"Equateur",Clay Soil,33.018042,"406804.59","406804.59",8.6E–39,Rice,8.6E–39, virgin","0.00","","","","",,'Alicia,F,967'
